"","x"
"1024",4
"1025",6
"1026",6
"1027",3
"1028",9
"1029",4
"1030",8
"1031",5
"1032",6
"1033",6
"1034",4
"1035",5
"1036",5
"1037",10
"1038",4
"1039",5
"1040",6
"1041",7
"1042",5
"1043",6
"1044",5
"1045",8
"1046",7
"1047",6
"1048",7
"1049",6
"1050",7
"1051",7
"1052",6
"1053",9
"1054",5
"1055",7
"1056",9
"1057",6
"1058",6
"1059",7
"1060",9
"1061",4
"1062",7
"1063",6
"1064",4
"1065",4
"1066",5
"1067",5
"1068",6
"1069",6
"1070",6
"1071",8
"1072",8
"1073",5
"1074",6
"1075",4
"1076",5
"1077",5
"1078",9
"1079",10
"1080",4
"1081",9
"1082",5
"1083",6
"1084",8
"1085",6
"1086",8
"1087",11
"1088",4
"1089",5
"1090",6
"1091",5
"1092",9
"1093",11
"1094",4
"1095",7
"1096",5
"1097",5
"1098",7
"1099",3
"1100",7
"1101",6
"1102",7
"1103",7
"1104",4
"1105",6
"1106",7
"1107",7
"1108",4
"1109",8
"1110",4
"1111",7
"1112",5
"1113",7
"1114",6
"1115",12
"1116",13
"1117",5
"1118",5
"1119",7
"1120",3
"1121",9
"1122",4
"1123",8
"1124",6
"1125",7
"1126",10
"1127",4
"1128",6
"1129",5
"1130",3
"1131",7
"1132",7
"1133",4
"1134",4
"1135",6
"1136",6
"1137",3
"1138",7
"1139",4
"1140",4
"1141",3
"1142",7
"1143",4
"1144",4
"1145",7
"1146",7
"1147",7
"1148",6
"1149",8
"1150",5
"1151",6
"1152",6
"1153",5
"1154",5
"1155",5
"1156",8
"1157",6
"1158",5
"1159",6
"1160",11
"1161",7
"1162",8
"1163",4
"1164",7
"1165",7
"1166",4
"1167",5
"1168",5
"1169",6
"1170",9
"1171",4
"1172",5
"1173",5
"1174",6
"1175",8
"1176",4
"1177",4
"1178",8
"1179",4
"1180",6
"1181",3
"1182",7
"1183",6
"1184",6
"1185",6
"1186",4
"1187",7
"1188",3
"1189",6
"1190",3
"1191",5
"1192",5
"1193",6
"1194",9
"1195",4
"1196",10
"1197",5
"1198",7
"1199",12
"1200",7
"1201",5
"1202",6
"1203",5
"1204",5
"1205",7
"1206",6
"1207",7
"1208",4
"1209",7
"1210",8
